Product Code/SKU,Cost Price,Selling Price
137581,2465.0,3334.75
147902,1955.0,2748.25
139495,6800.0,8320.0
146303,5100.0,6365.0
145370,2040.0,2846.0
139494,6800.0,8320.0
137579,3740.0,4801.0
118358,4080.0,5192.0
146387,7225.0,8808.75
120065,4930.0,6169.5
177577,5950.0,7342.5
118272,3400.0,4410.0
145906,3230.0,4214.5
136807,6375.0,7831.25
145367,3060.0,4019.0
41917,4080.0,5192.0
178009,10710.0,12816.5
118287,3740.0,4801.0
119415,2890.0,3823.5
136615,5525.0,6853.75
137446,6375.0,7831.25
145803,1955.0,2748.25
146068,2465.0,3334.75
118353,5950.0,7342.5
145904,2210.0,3041.5
118206,5100.0,6365.0
118293,2550.0,3432.5
118292,3060.0,4019.0
118285,3740.0,4801.0
145531,6630.0,8124.5
145802,4335.0,5485.25
146309,4930.0,6169.5
118288,3740.0,4801.0
96761,2210.0,3041.5
137445,4845.0,6071.75
